PA_name,park,Area_km2
BC 1,Biological Corridor 1,255.548612
BC 2,Biological Corridor 2,291.757619
BC 3,Biological Corridor 3,407.117147
BC 4,Biological Corridor 4,594.653589
BC 5,Biological Corridor 5,205.825297
BC 6,Biological Corridor 6,232.77095
BC 7,Biological Corridor 7,419.66363
BC 8,Biological Corridor 8,558.604382
BC 9,Biological Corridor 9,401.099244
BWS,Bumdeling Wildlife Sanctuary,1534.244581
JDWNP,Jigme Dorji Wangchuch National Park,4374.059572
JKSNR,Jigme Khesar Strick Nature Reserve,784.224772
JSWNP,Jigme Singye Wangchuck National Park,1730.0582
JWS,Jomotsangkha Wildlife Sanctuary,362.490667
PWS,Phibsoo Wildlife Sanctuary,287.178768
PNP,Phrumsengla National Park,906.653443
RBP,Royal Botanical Park,91.196589
RMNP,Royal Manas National Park,1057.021828
SWS,Sakteng Wildlife Sanctuary,742.463082
WCNP,Wangchuck Centennial National Park,4914.634155
