PA_name,park,Area_km2,band,mean,stdDev,count,p5,p25,p50,p75,p95
BC 1,Biological Corridor 1,255.548612,functional_integrity,0.8251090328589075,0.09596464735238636,3442,0.6388474643230438,0.7718178127816625,0.8416544161626817,0.8966016241636985,0.9474155006748537
BC 2,Biological Corridor 2,291.757619,functional_integrity,0.6656335973587356,0.1291611640836404,3916,0.46702389355283236,0.5644715765816951,0.6659947093848023,0.7676099072920105,0.8767879259417508
BC 3,Biological Corridor 3,407.117147,functional_integrity,0.5370555703342853,0.08006543492563255,5554,0.45111359483007724,0.48254617917521164,0.5096553175509427,0.5800448554825592,0.6971023725999806
BC 4,Biological Corridor 4,594.653589,functional_integrity,0.6861945529560755,0.12590813534390627,7824,0.48250447859455275,0.5840682932610087,0.6814863885156993,0.7910943700909469,0.8886547462431409
BC 5,Biological Corridor 5,205.825297,functional_integrity,0.49470143032360964,0.10183266474637466,2845,0.4266998895869232,0.4384442728848737,0.4501405725429897,0.5203525161428073,0.7274035692214966
BC 6,Biological Corridor 6,232.77095,functional_integrity,0.7148872094926383,0.10934611003959092,3114,0.5327286621096862,0.634737185883772,0.7126281288528443,0.7949367959487341,0.8928842168105277
BC 7,Biological Corridor 7,419.66363,functional_integrity,0.6721838065459002,0.1306106675849605,5847,0.49023227135500175,0.5528033214950485,0.6660037442532866,0.7790746713352265,0.8927008479598785
BC 8,Biological Corridor 8,558.604382,functional_integrity,0.6991289072618061,0.13964750024115588,7578,0.4901025028417972,0.5683748855309839,0.7052681999634207,0.8143616190674423,0.920018784187782
BC 9,Biological Corridor 9,401.099244,functional_integrity,0.6692671052428492,0.1326341550441389,5337,0.48634119373460055,0.5564990794379607,0.6506105090023182,0.775207251006975,0.9003479428200396
BWS,Bumdeling Wildlife Sanctuary,1534.244581,functional_integrity,0.717942494489417,0.132543044562819,19906,0.4902442610571081,0.6151116000090656,0.7286502295508673,0.8263185139327431,0.9120562870537872
JDWNP,Jigme Dorji Wangchuch National Park,4374.059572,functional_integrity,0.6747592995121449,0.1682124147113564,56003,0.34194220534779807,0.580232745345673,0.6895094957793552,0.810491554046184,0.9082699032927711
JKSNR,Jigme Khesar Strick Nature Reserve,784.224772,functional_integrity,0.7807335975486328,0.13098999372571773,10203,0.509565091852217,0.7013723847428273,0.8223422722346709,0.880881502444598,0.9316774658032942
JSWNP,Jigme Singye Wangchuck National Park,1730.0582,functional_integrity,0.6687583674013432,0.13240802828428896,22158,0.4784330602951923,0.55659654800442,0.6660659072584404,0.7754523011007549,0.8886882462860228
JWS,Jomotsangkha Wildlife Sanctuary,362.490667,functional_integrity,0.6352135282384395,0.0992834555192207,4791,0.46955932288747115,0.5654260958865434,0.6277851498515441,0.7022335122739172,0.8194932283292071
PWS,Phibsoo Wildlife Sanctuary,287.178768,functional_integrity,0.4763107585438073,0.061782755449066896,3823,0.4267909535970885,0.438420404133493,0.453972938563418,0.4815186124815924,0.6141820152600607
PNP,Phrumsengla National Park,906.653443,functional_integrity,0.73079272924734,0.13034434354225585,11827,0.4939800386245434,0.6347307715201334,0.7403075604380361,0.8379407001605002,0.9199572410087224
RBP,Royal Botanical Park,91.196589,functional_integrity,0.5221216994609424,0.06350383367488063,1269,0.44212395132172067,0.47949026178187,0.5127343140855415,0.5555139007248692,0.6432252526283264
RMNP,Royal Manas National Park,1057.021828,functional_integrity,0.5083362292267799,0.10932024682465466,13635,0.4200582039453057,0.43943474107889374,0.4628630117794359,0.5367901141114109,0.7637707117874771
SWS,Sakteng Wildlife Sanctuary,742.463082,functional_integrity,0.7202211454746508,0.14708262346154716,9605,0.44739675578133326,0.6152315903114588,0.7365204711183855,0.841588206626732,0.9239162261597255
WCNP,Wangchuck Centennial National Park,4914.634155,functional_integrity,0.709938190307999,0.12946061893182362,62933,0.4980050822902658,0.599583106238357,0.708956137712056,0.8183016723915711,0.9120828541333661
BC 1,Biological Corridor 1,255.548612,structural_integrity,0.9808661832726964,0.028858304899387347,3442,0.9085466625248584,0.9799853377984821,0.9896273275783553,0.9987728649814673,1.0
BC 2,Biological Corridor 2,291.757619,structural_integrity,0.9759285038454086,0.045827457587015216,3916,0.8477765321731566,0.9750440043269419,0.9965970053785894,1.0,1.0
BC 3,Biological Corridor 3,407.117147,structural_integrity,0.9228137549880576,0.0907846510599038,5554,0.7253909792930989,0.8877633081064783,0.959926071276746,0.9950740084856011,1.0
BC 4,Biological Corridor 4,594.653589,structural_integrity,0.9590582893418499,0.06749253574439863,7824,0.8016538130051178,0.9501715801761433,0.9936449264864528,1.0,1.0
BC 5,Biological Corridor 5,205.825297,structural_integrity,0.8028706776807064,0.12012269151849495,2845,0.5926967266046606,0.712562939526696,0.8181217943885718,0.9002641236721561,0.9549313855361222
BC 6,Biological Corridor 6,232.77095,structural_integrity,0.9967856124110362,0.004181488743153789,3114,0.9891676306724548,0.9923033118247987,0.9994298815727233,0.9994298815727233,1.0
BC 7,Biological Corridor 7,419.66363,structural_integrity,0.981113760982145,0.027006943424948377,5847,0.9197229200334691,0.9709236025810242,0.9948688745498656,0.9997149109840393,1.0
BC 8,Biological Corridor 8,558.604382,structural_integrity,0.9488263560888566,0.06528901740058418,7578,0.8247491729560977,0.8959242069554406,0.9886739007427021,0.9964784361595755,1.0
BC 9,Biological Corridor 9,401.099244,structural_integrity,0.9284651343059198,0.0715960956243196,5337,0.7880429083650763,0.8799211142474295,0.9444229191765375,0.9911463447176323,1.0
BWS,Bumdeling Wildlife Sanctuary,1534.244581,structural_integrity,0.9983190972451763,0.00391817382776238,19906,0.990307867527008,0.9988597631454466,1.0,1.0,1.0
JDWNP,Jigme Dorji Wangchuch National Park,4374.059572,structural_integrity,0.9959938117541063,0.011873466671518743,56003,0.9699199482436376,0.9987851526699715,1.0,1.0,1.0
JKSNR,Jigme Khesar Strick Nature Reserve,784.224772,structural_integrity,0.9730137797248991,0.05326198417120556,10203,0.8562514813625871,0.9697774317536677,0.9990882961997363,1.0,1.0
JSWNP,Jigme Singye Wangchuck National Park,1730.0582,structural_integrity,0.9671782142592679,0.06707400536608453,22158,0.8056530711894146,0.9800728500608687,0.9992638673971095,1.0,1.0
JWS,Jomotsangkha Wildlife Sanctuary,362.490667,structural_integrity,0.8704822443447163,0.14612308024496148,4791,0.5686932701566861,0.7913251697592385,0.9277653482548002,0.986374305812794,0.9987261423685455
PWS,Phibsoo Wildlife Sanctuary,287.178768,structural_integrity,0.9764308805436133,0.04074408642850153,3823,0.9070725730547666,0.9696341574461266,0.9873362217342431,0.9993052471098556,1.0
PNP,Phrumsengla National Park,906.653443,structural_integrity,0.9627182270901843,0.06070807181367477,11827,0.8054466051110397,0.9463448357815629,0.9972162230513677,1.0,1.0
RBP,Royal Botanical Park,91.196589,structural_integrity,0.8594693994058356,0.09795823369774759,1269,0.7276342534535994,0.7589884085033368,0.8540478735423284,0.9657749574919892,0.9930155660305487
RMNP,Royal Manas National Park,1057.021828,structural_integrity,0.9437907451474878,0.0703087532982927,13635,0.8115864335477883,0.9013932370312949,0.9737852619766378,0.9993874661710395,1.0
SWS,Sakteng Wildlife Sanctuary,742.463082,structural_integrity,0.9822265047440024,0.026483920611458277,9605,0.9232824916640917,0.9741213954194975,0.9965470831106233,0.9994113507981461,1.0
WCNP,Wangchuck Centennial National Park,4914.634155,structural_integrity,0.9945745616174098,0.013400057551896513,62933,0.9727914466464637,0.9970599257591961,0.9970599257591961,1.0,1.0
BC 1,Biological Corridor 1,255.548612,compositional_integrity,0.9346448996871641,0.030617147237210974,3441,0.8820053390650802,0.9248207567915159,0.9403369033889931,0.9541727617310147,0.9639830184072969
BC 2,Biological Corridor 2,291.757619,compositional_integrity,0.9410656657756351,0.032417438260640745,3916,0.8877048175469472,0.9286447337174402,0.9504235801747185,0.9619212866268385,0.9715867018607938
BC 3,Biological Corridor 3,407.117147,compositional_integrity,0.952689377649567,0.021327131297086698,5554,0.9126044707372785,0.940014058598246,0.958492252266976,0.9692100787227891,0.9760117826462024
BC 4,Biological Corridor 4,594.653589,compositional_integrity,0.9691793745862815,0.02198488997496955,7824,0.9267751967734317,0.9638580529582224,0.9755891931892544,0.9814393354865344,0.9871932372779602
BC 5,Biological Corridor 5,205.825297,compositional_integrity,0.9172277155231319,0.031205689997435157,2845,0.8624983028947542,0.9071862354631185,0.9247604296579586,0.9345637731899205,0.9443380911733028
BC 6,Biological Corridor 6,232.77095,compositional_integrity,0.9740966791789288,0.015159888194731571,3114,0.9563733247825118,0.971217255216914,0.9781161059908223,0.980995253126445,0.9837934657221926
BC 7,Biological Corridor 7,419.66363,compositional_integrity,0.9645849424131767,0.027671938986958546,5847,0.9248371705475564,0.9600149731537218,0.9697209445521284,0.9775137076948819,0.9871180105984908
BC 8,Biological Corridor 8,558.604382,compositional_integrity,0.9302656404776349,0.03657795433611025,7578,0.8741685027917937,0.9189098488063783,0.9364737853625711,0.9502423555788176,0.9696681495889319
BC 9,Biological Corridor 9,401.099244,compositional_integrity,0.929889186540906,0.0670404719746951,5337,0.748994734038297,0.9364637822799122,0.9541383423738735,0.963946150090823,0.9754955689103629
BWS,Bumdeling Wildlife Sanctuary,1534.244581,compositional_integrity,0.9814996179991653,0.016673214565961172,19855,0.9580557218339211,0.9756777259237113,0.9814972871700934,0.9931239011356563,0.9990642913012688
JDWNP,Jigme Dorji Wangchuch National Park,4374.059572,compositional_integrity,0.9634823265733807,0.03208690848805391,55862,0.9092232122865953,0.9501347150960952,0.9678064807368894,0.9853443083792073,0.9997158017621415
