PA_name,park,Area_km2,hmi_mean,hmi_stdDev,hmi_count,treecover2000_mean,treecover2000_stdDev,treecover2000_count,forest_loss_mean,forest_loss_stdDev,forest_loss_count,ndvi_mean_mean,ndvi_mean_stdDev,ndvi_mean_count,ndvi_trend_mean,ndvi_trend_stdDev,ndvi_trend_count,fire_frequency_mean,fire_frequency_stdDev,fire_frequency_count,cropland_mean,cropland_stdDev,cropland_count,built_up_mean,built_up_stdDev,built_up_count,elevation_mean,elevation_stdDev,elevation_count
BC 1,Biological Corridor 1,255.548612,0.1303812162263826,0.014445496756295844,3442,33.67087780147784,30.208225861997512,3442,0.0029440137371046934,0.06364635817045142,3442,0.4524018767167607,0.16418265038280716,3442,0.0011240336242671568,0.001368820963795201,3442,0.005286785232124626,0.07010417496812117,3442,0.0,0.0,3442,0.0,0.0,3442,3879.781740529216,514.9222091604054,3442
BC 2,Biological Corridor 2,291.757619,0.15486884903874423,0.04234872735127524,3916,67.34438336494466,17.773950988364017,3916,0.007550283430310431,0.08573607273334241,3916,0.6281945798437357,0.09666620511355374,3916,0.000858606781384828,0.0010741210335892435,3916,0.07678443222854449,0.4342176022262191,3916,0.00023681700796176632,0.015978028816098732,3916,0.0,0.0,3916,2488.9339773470065,620.1163535981867,3916
BC 3,Biological Corridor 3,407.117147,0.21044423199763912,0.04094270068594172,5554,75.71688230104449,14.97316690996098,5554,0.005408950866771682,0.07207078703502137,5554,0.6615549495905484,0.07158785677798679,5554,0.0020504072770395603,0.0012238635606233597,5554,0.0,0.0,5554,0.0,0.0,5554,0.0,0.0,5554,1374.9549230999005,463.70572088174174,5554
BC 4,Biological Corridor 4,594.653589,0.15196248268078738,0.017541448414224795,7824,70.88510829798234,22.035930335361147,7824,0.007537932814717107,0.08723475521815874,7824,0.6329894872683497,0.12818195388663037,7824,0.0017661947157040793,0.0011294858483065317,7824,0.0012065529229861739,0.03389665975949091,7824,0.0,0.0,7824,0.0,0.0,7824,2395.253201571096,866.8098336316723,7824
BC 5,Biological Corridor 5,205.825297,0.2529335148651649,0.09005709943383992,2844,71.51970666874088,15.449682511151604,2844,0.002974188618466505,0.06745466950199784,2844,0.7402755672896827,0.028096842687279293,2844,0.0010632907197094042,0.0009840067766536838,2844,0.06560755047350601,0.25024294801703767,2844,0.0,0.0,2844,0.0,0.0,2844,453.4053712321215,190.01820482033446,2844
BC 6,Biological Corridor 6,232.77095,0.16427257924215188,0.01580956273762582,3114,70.74765763654926,21.078436586590666,3114,0.0010031967639161576,0.031023588031030093,3114,0.5657974808892519,0.08662418559923293,3114,0.001681823947946034,0.0012395970844332705,3114,0.009937707540538581,0.0976785499471027,3114,0.0,0.0,3114,0.0,0.0,3114,2317.945578258776,697.0740494630148,3114
BC 7,Biological Corridor 7,419.66363,0.1621900470299754,0.03908873284915809,5847,64.0775458104213,25.384054990818424,5847,0.007069037895857963,0.08642104822539894,5847,0.6416694375555613,0.11288106537189148,5847,0.000989870949323638,0.0012657797426178657,5847,0.07576427343403491,0.32495962835116227,5847,0.00010902828356847344,0.013076644332899111,5847,0.0,0.0,5847,2563.103469324484,681.7655086433263,5847
BC 8,Biological Corridor 8,558.604382,0.15520822116724103,0.05121469833660405,7578,60.67408399310388,23.166605495676958,7578,0.008662102673116519,0.09498630561153196,7578,0.5957934412438219,0.1149251846564174,7578,0.0009779227996428827,0.0013287984325935074,7578,0.0,0.0,7578,0.0,0.0,7578,0.0,0.0,7578,3138.892560913694,524.1843752968707,7578
BC 9,Biological Corridor 9,401.099244,0.21273727983942653,0.04661040312951948,5318,62.83784125853141,29.15488335372307,5318,0.0035860271506787614,0.05807989925340542,5318,0.679948459761022,0.0944034108846809,5318,0.0016249463401535665,0.0013398092617659776,5318,0.11417785444636101,0.5549471108342849,5318,0.010197911197779928,0.10025510293278553,5318,0.00019922373059326452,0.013711500920747756,5318,2445.266705105124,663.1744390648265,5318
BWS,Bumdeling Wildlife Sanctuary,1534.244581,0.11441751244116725,0.03436002621137491,19892,43.85104517610478,35.807312865785484,19892,0.0007163592790449784,0.02651990172770856,19892,0.4070859344900399,0.2528066528603216,19892,0.0018207667275098925,0.0014067250302071275,19892,0.0,0.0,19892,8.647465369032608e-05,0.010026605754229636,19892,0.0,0.0,19892,3714.5909537768543,838.0615877386799,19892
