PA_name,park,Area_km2,eii_mean,eii_stdDev,pixel_count,eii_p5,eii_p25,eii_p50,eii_p75,eii_p95
BC 1,Biological Corridor 1,255.548612,0.8213721938766431,0.09414917195512756,3442,0.6372906804084778,0.7708598412096292,0.8407960145722257,0.8916335202144011,0.9362736558124864
BC 2,Biological Corridor 2,291.757619,0.6642283169502088,0.12944950525041968,3916,0.46670195976717277,0.5604905146838418,0.662100920162583,0.7637122333817217,0.8766426014969535
BC 3,Biological Corridor 3,407.117147,0.5343490878843191,0.07958469237625114,5554,0.4512769838765706,0.47454449587461667,0.5057351037633733,0.580003457582014,0.6932343628308544
BC 4,Biological Corridor 4,594.653589,0.684757323306118,0.1263081070675965,7824,0.48229629394053075,0.583880584027568,0.6775416817125623,0.7909550281917657,0.8886414701238841
BC 5,Biological Corridor 5,205.825297,0.4781316233665441,0.07991372975733878,2845,0.4149211155255935,0.43252966629162215,0.4441750201912051,0.49701853603592716,0.6674374037876464
BC 6,Biological Corridor 6,232.77095,0.7148082772236038,0.10932413869442366,3114,0.5328599922634354,0.6347913248335404,0.7125867430480377,0.7948854605679551,0.8930073801208945
BC 7,Biological Corridor 7,419.66363,0.6716050286096226,0.13082520109477602,5847,0.4902087304048849,0.5526256913465687,0.6621830744164393,0.7790521006920149,0.8928057619688793
BC 8,Biological Corridor 8,558.604382,0.6948538370053303,0.13852063833581937,7578,0.48645072621226987,0.564554586073827,0.7014596462111613,0.8102612152388392,0.9080238982418384
BC 9,Biological Corridor 9,401.099244,0.6647662203763046,0.13514752034399824,5337,0.47865521038571995,0.5488207077606294,0.6466182176155824,0.7717569894027341,0.8968136475287062
BWS,Bumdeling Wildlife Sanctuary,1534.244581,0.717897589460954,0.13253112848648368,19906,0.4902735174699192,0.6151271819986641,0.7286359045720766,0.8263385773863763,0.9120714755016417
JDWNP,Jigme Dorji Wangchuch National Park,4374.059572,0.6741864088653859,0.16771813231375318,56003,0.34193518791686406,0.580234073542756,0.6895286001934965,0.8104954685791368,0.9083111029842453
JKSNR,Jigme Khesar Strick Nature Reserve,784.224772,0.7759872270328095,0.12930270582335077,10203,0.509578254498742,0.697341085589233,0.8143939183563407,0.8770279910876242,0.9278490387985392
JSWNP,Jigme Singye Wangchuck National Park,1730.0582,0.6668803646883233,0.1324005498311302,22158,0.4748278023634222,0.5527118731307888,0.6660786509665438,0.7714143297716783,0.8887453516953048
JWS,Jomotsangkha Wildlife Sanctuary,362.490667,0.6236861499695288,0.10936853653564574,4791,0.4510086068387333,0.5487007045893906,0.6153875750811708,0.6973280041622503,0.8189875826391639
PWS,Phibsoo Wildlife Sanctuary,287.178768,0.4754566758991234,0.0603234153968705,3823,0.4267991805024915,0.438407440558093,0.4521825042860157,0.4793076061191414,0.612393847083936
PNP,Phrumsengla National Park,906.653443,0.7263390652537587,0.12760755005560678,11827,0.49030766852207386,0.6346742803472113,0.7403789816057773,0.83020994536545,0.9160037065037508
RBP,Royal Botanical Park,91.196589,0.5114111577313298,0.06092021995472506,1269,0.44210863899071956,0.4676504539330565,0.5052815241266883,0.5419840990700796,0.6280927658081055
RMNP,Royal Manas National Park,1057.021828,0.5061051762069596,0.10706903138986165,13635,0.41998026540157013,0.4394811012619863,0.4628428002093176,0.5332796639749864,0.7519409521087926
SWS,Sakteng Wildlife Sanctuary,742.463082,0.7194505458221204,0.1467437657013298,9605,0.4473190130497619,0.6152218327795095,0.7364974453164694,0.8417386148723776,0.9238233466311859
WCNP,Wangchuck Centennial National Park,4914.634155,0.7097776223543926,0.12948255746916326,62933,0.49798019689414946,0.5995895161554223,0.708967658859738,0.8183269427129964,0.912076662477478
