PA_name,location_inside,eii_mean_inside,eii_stdDev_inside,eii_count_inside,eii_p5_inside,eii_p25_inside,eii_p50_inside,eii_p75_inside,eii_p95_inside,functional_integrity_mean_inside,functional_integrity_stdDev_inside,functional_integrity_count_inside,functional_integrity_p5_inside,functional_integrity_p25_inside,functional_integrity_p50_inside,functional_integrity_p75_inside,functional_integrity_p95_inside,structural_integrity_mean_inside,structural_integrity_stdDev_inside,structural_integrity_count_inside,structural_integrity_p5_inside,structural_integrity_p25_inside,structural_integrity_p50_inside,structural_integrity_p75_inside,structural_integrity_p95_inside,compositional_integrity_mean_inside,compositional_integrity_stdDev_inside,compositional_integrity_count_inside,compositional_integrity_p5_inside,compositional_integrity_p25_inside,compositional_integrity_p50_inside,compositional_integrity_p75_inside,compositional_integrity_p95_inside,park,Area_km2,buffer_km_inside,location_outside,eii_mean_outside,eii_stdDev_outside,eii_count_outside,eii_p5_outside,eii_p25_outside,eii_p50_outside,eii_p75_outside,eii_p95_outside,functional_integrity_mean_outside,functional_integrity_stdDev_outside,functional_integrity_count_outside,functional_integrity_p5_outside,functional_integrity_p25_outside,functional_integrity_p50_outside,functional_integrity_p75_outside,functional_integrity_p95_outside,structural_integrity_mean_outside,structural_integrity_stdDev_outside,structural_integrity_count_outside,structural_integrity_p5_outside,structural_integrity_p25_outside,structural_integrity_p50_outside,structural_integrity_p75_outside,structural_integrity_p95_outside,compositional_integrity_mean_outside,compositional_integrity_stdDev_outside,compositional_integrity_count_outside,compositional_integrity_p5_outside,compositional_integrity_p25_outside,compositional_integrity_p50_outside,compositional_integrity_p75_outside,compositional_integrity_p95_outside,buffer_km_outside,delta_eii,delta_functional_integrity,delta_structural_integrity,delta_compositional_integrity,buffer_km
BC 1,inside,0.8213967858534837,0.09380239569715974,3450,0.6372906804084778,0.7708680607792728,0.8407944092263501,0.8916347115472294,0.9362744587760597,0.8251385924481748,0.09562267858328723,3450,0.6388474643230438,0.7718230398648936,0.8416540888037037,0.8966058460320628,0.9474166280503687,0.9809253612953355,0.028770557916466204,3450,0.9085513861461137,0.9799857144574873,0.989627361968209,0.9987740124271094,1.0,0.9346817160639295,0.030673288001586467,3449,0.8820169842803197,0.9248174491334158,0.9403347793518897,0.9541741994897263,0.9639833306222022,Biological Corridor 1,255.548612,10.0,outside,0.7625062522106358,0.13471819702185028,14751,0.4709775527362078,0.6896027487032379,0.7988174406767576,0.865291920418335,0.9237693233931458,0.7682931169365397,0.13244687284392892,14751,0.48628966993498174,0.6934868167389651,0.8027556028572848,0.8692652791418881,0.9315783328251703,0.9597177603246738,0.08023767881507074,14751,0.7756029863603183,0.9667240412841693,0.9985554822974069,1.0,1.0,0.9245685027857642,0.05386204054596352,14735,0.8263872903323398,0.9200753921105291,0.9394483270943684,0.9511195389181263,0.966649527561839,10.0,0.05889053364284791,0.0568454755116351,0.021207600970661655,0.010113213278165278,10.0
BC 2,inside,0.6643697184475368,0.1295900501840722,3916,0.4667093754757975,0.5604971486497513,0.6621138871558283,0.7676265015051242,0.8766470096419691,0.6657734063652452,0.1293029719735693,3916,0.4670226098303106,0.5644684207697046,0.6660030170995319,0.7676144796750707,0.8767940246650375,0.9759307363600986,0.04579399840801174,3916,0.8469213247299194,0.9750439575581371,0.9965972377791743,1.0,1.0,0.9411041778035484,0.03217966601614333,3916,0.8877025860894346,0.9286407567754776,0.9504214777044558,0.9619212619883006,0.9715861423153811,Biological Corridor 2,291.757619,10.0,outside,0.6136748142122046,0.14515265133892338,18561,0.42383300886193614,0.5019148824068619,0.5722632812019914,0.7245183108610274,0.8769824182265771,0.6241167683997401,0.13793248857508164,18561,0.45110336736281137,0.5137227473061986,0.5799646658887501,0.7323210983320326,0.8808683307792323,0.8896867311454187,0.12735086743759366,18561,0.6110669613428111,0.8144951828047006,0.9396702514421995,0.9985817101176702,1.0,0.9032724502153041,0.08601740379221984,18554,0.7207350181167737,0.8770121145611028,0.9356714010205645,0.9588321326526084,0.9743915179119521,10.0,0.05069490423533218,0.04165663796550512,0.0862440052146799,0.03783172758824427,10.0
BC 3,inside,0.5343722071468247,0.0795739538074287,5560,0.4512758283128973,0.4745452914317684,0.5057371580801743,0.5799999004690902,0.6932274431669958,0.5370839592422406,0.08004927484377708,5560,0.45110699687079664,0.48254501050535004,0.5096531868825892,0.5800315185021254,0.6971185750816807,0.9227272834985673,0.09096253655459659,5560,0.7253922637896378,0.8877582423966834,0.9599288082935478,0.9950735886537242,1.0,0.9526758375083497,0.021354034890995265,5560,0.9126051975191825,0.9400142247505446,0.9584928808276748,0.9692093504169217,0.9760114376244048,Biological Corridor 3,407.117147,10.0,outside,0.5460975391239834,0.11481411027599657,23530,0.42787548641537393,0.45894305016221937,0.5097742429932828,0.6228487695468696,0.7675900701946807,0.5606406520913019,0.11275076705899241,23530,0.43557859296074297,0.46672341061763317,0.5293757360344602,0.6386484117124395,0.7789470796390163,0.8891804415449261,0.14920636245610558,23530,0.588522155370031,0.8181785760413386,0.9667341425923236,0.9988216105483668,1.0,0.9323533874351507,0.07117420544125712,23523,0.7867679891396887,0.927860298756991,0.9512565908009261,0.9709016361167122,0.9823009652705459,10.0,-0.011725331977158748,-0.023556692849061256,0.033546841953641104,0.020322450073198994,10.0
BC 4,inside,0.6847351188874017,0.12632852320248128,7834,0.48229681680293757,0.5838813726367708,0.6775390084827314,0.790953744405914,0.8886426231276177,0.6861732367831502,0.12592287375608036,7834,0.48250482765181885,0.5840678192460778,0.6814878323106581,0.7910926488873102,0.8886554751293624,0.9590428763185544,0.0675999684982197,7834,0.8016488646206102,0.9501741736041839,0.9936438068606582,1.0,1.0,0.9691635948838797,0.022024961984125003,7834,0.9267785328199792,0.9638571738597924,0.9755894942199423,0.9814393365010063,0.9871954292568158,Biological Corridor 4,594.653589,10.0,outside,0.6495160786855353,0.12528868976925497,22948,0.46677070303685697,0.5489984055134767,0.6426755902186142,0.7402227104228604,0.8728651992466573,0.6530604268012663,0.12565127829962736,22948,0.46692556600702195,0.5526230138380558,0.6463006182229766,0.7441430537956873,0.8729465752402442,0.9343841579719534,0.08343028130761987,22948,0.754836982085761,0.8897290041279,0.9753997633005423,1.0,1.0,0.9554723670196608,0.03579349133868944,22946,0.9072966940020438,0.9463000445103161,0.9638692128905312,0.9755471753135548,0.9833520161567475,10.0,0.03521904020186639,0.03311280998188393,0.02465871834660105,0.013691227864218947,10.0
BC 5,inside,0.47814194062657667,0.0798761187801971,2846,0.41492124593482826,0.4325294803330104,0.4441759106266883,0.4970006479330712,0.6674400065698476,0.494739940420418,0.10151847889067082,2846,0.4266989964844356,0.4384468393958378,0.4501422555826529,0.5203441418994669,0.7274035692214966,0.8028002281331561,0.1198822169192408,2846,0.5926967266046606,0.7125653575376137,0.8181248891251282,0.9002623703284964,0.9549376093797652,0.9172265123456984,0.030919508674419633,2846,0.8624999106440255,0.9071855196168503,0.9247579358446603,0.9345625635883569,0.9443395202466586,Biological Corridor 5,205.825297,10.0,outside,0.4963490402592924,0.09013317619180067,9935,0.42403047825595486,0.4355221847839971,0.4550088462801165,0.5291914385906036,0.6934137293862891,0.5074607971949591,0.09844192361632333,9935,0.4280050661626971,0.4432781302478131,0.4627928736539736,0.544921774891255,0.7244337161572192,0.8610307173062145,0.10912638954788552,9935,0.7088871267514107,0.7833401475481374,0.8690539267781663,0.9553565591160443,0.9901853695674636,0.914717759414109,0.053531237623472935,9934,0.8185251989694828,0.9082813367088531,0.9276777371376144,0.9394396178981363,0.9586879640246913,10.0,-0.018207099632715718,-0.012720856774541045,-0.0582304891730584,0.002508752931589364,10.0
BC 6,inside,0.7147915830657022,0.10932173741541508,3122,0.5329126215300719,0.6347860355319672,0.712580446381807,0.7948869423502662,0.8930073801208945,0.7148705597115492,0.10934356511224502,3122,0.5327273163575967,0.6347319946741112,0.7126228641863936,0.7949383352980548,0.8928842168105277,0.9967885929148239,0.004180806117389284,3122,0.9891676306724547,0.9923033118247987,0.9994298815727237,0.9994298815727237,1.0,0.9740794229033655,0.015290053774313138,3122,0.9563742022247089,0.9712143762549421,0.9781160594659194,0.9809950230350403,0.9837935344445011,Biological Corridor 6,232.77095,10.0,outside,0.6489246186119928,0.12987163835435378,14196,0.4512878937210238,0.5528287950464194,0.6347279007396935,0.743933643396859,0.8769650430072086,0.6505552908186222,0.1291917395397525,14196,0.4513959054656532,0.5567248078857079,0.6386639680600029,0.7441013369079145,0.8769728015640175,0.9690707527382809,0.05667008978420414,14196,0.8369215623102055,0.963756025564851,0.9932999626831365,0.9993327852440986,1.0,0.9503284200093408,0.04133362008179269,14196,0.8798738949960764,0.9463168419780669,0.961946809379731,0.9717492727414906,0.9794968148943729,10.0,0.06586696445370943,0.06431526889292705,0.027717840176542996,0.023751002894024653,10.0
BC 7,inside,0.671485893875489,0.13086049317859974,5857,0.49022186908744175,0.5526230725667556,0.6621777287928229,0.7790502117694694,0.8928050470284654,0.672062604715589,0.13064595756549408,5857,0.4902242035476826,0.5527964503270593,0.6659912241949247,0.7790777406230976,0.8927005519047856,0.9811480679324504,0.027071899853555993,5857,0.9197269683503835,0.9709236025810242,0.995296754219691,0.9997149109840394,1.0,0.9646323087693018,0.02767517778288713,5857,0.9271203127381301,0.9600172229049285,0.9697202467326064,0.9775125981163649,0.9871169286744704,Biological Corridor 7,419.66363,10.0,outside,0.6855555270450787,0.14318522346759818,27603,0.4666773088440976,0.5604648868360537,0.6855452847965495,0.8065049734349664,0.9121869900392038,0.6865659993899439,0.14301069630546617,27603,0.46665938292184106,0.5604814984904971,0.6855714869693657,0.806500156393075,0.9121608673614282,0.9805869093760294,0.033582988167334,27603,0.9048115856969549,0.9722501071524473,0.9987518706905455,1.0,1.0,0.9614103899571014,0.039769186107872875,27595,0.899443799211208,0.9560727916192526,0.9716830649860597,0.9814632836205142,0.9951056750707676,10.0,-0.014069633169589757,-0.014503394674354908,0.0005611585564209154,0.003221918812200464,10.0
BC 8,inside,0.6948349741061435,0.1387139117149638,7583,0.4864521119817503,0.5645526499766519,0.7014649217596953,0.8102570666479222,0.9080202942903834,0.6990966059868223,0.13982787679437758,7583,0.4901041131024385,0.5683777202311333,0.7052778545444573,0.8143581876940363,0.9200192984871038,0.9489072604776401,0.06518304719251058,7583,0.8255823595183236,0.8959239821887743,0.9886750409384994,0.99647798467871,1.0,0.9302396559492137,0.036792791636388315,7583,0.8741694897170958,0.9189115446803768,0.9364750977764899,0.9502437848585042,0.9696672345452962,Biological Corridor 8,558.604382,10.0,outside,0.6521035640188191,0.13738721176571975,27823,0.4668593528373852,0.5292977454041067,0.6387011914398779,0.7637733075083047,0.8887148322786669,0.6572008955726751,0.13610427232728528,27823,0.47077105386689394,0.5410038669812375,0.6425651710539174,0.7674465929975531,0.8925388402796336,0.939197381782099,0.08977803546688366,27823,0.7413238638486618,0.8937172882534175,0.9931140940728805,0.9992316311408161,1.0,0.9267812617047346,0.06333136450884998,27815,0.7898988127708435,0.9111493071082744,0.9443033733876135,0.9676450585052128,0.9853336236196025,10.0,0.042731410087324395,0.04189571041414719,0.009709878695541074,0.003458394244479024,10.0
BC 9,inside,0.6645521897336164,0.1350686204540108,5336,0.47865521038571995,0.5488219905858226,0.6466182479592664,0.7717569894027341,0.8968150477699649,0.6690743216023574,0.1325272625378905,5336,0.48634627804123703,0.5564993321500682,0.6506074126187468,0.7752072510069747,0.9003475099718796,0.9282636153982355,0.07196270175909501,5336,0.7880429083650763,0.8799211142474295,0.944423567226598,0.9911463447176323,1.0,0.92978587543356,0.06724229495434984,5336,0.748994734038297,0.9364655631334197,0.9541380652356104,0.9639459515092343,0.975495007150378,Biological Corridor 9,401.099244,10.0,outside,0.6612458170090488,0.14278402835404436,14636,0.4511980963599325,0.5332094218343227,0.6542618316310499,0.7792523709915374,0.8964173483594773,0.6653205048185626,0.14048999639464685,14636,0.4590022239035224,0.5449788968995948,0.6582056312468505,0.7793405198364357,0.8964414079022343,0.9368017260417847,0.08174762447047167,14636,0.7452549621019869,0.8896768983510162,0.975366926365048,0.9994031692453674,1.0,0.9366542114720787,0.06402101147850248,14627,0.7705258093774319,0.9385469679076825,0.9559640746273618,0.9716474344274981,0.9833496673119501,10.0,0.0033063727245675745,0.0037538167837947167,-0.008538110643549146,-0.006868336038518774,10.0
BWS,inside,0.7179342100566111,0.13247896807331253,19901,0.4902724661482808,0.6151279150479675,0.7286352857788285,0.8263363518280435,0.9120721656656845,0.7179791248532194,0.13249083154955146,19901,0.49024319476897393,0.6151126308932369,0.7286494336049635,0.8263162302587556,0.912057388510529,0.9983170567792642,0.003915613306331804,19901,0.990307867527008,0.9988597631454477,1.0,1.0,1.0,0.9815017141353919,0.016705072020671903,19850,0.9580559728544132,0.9756775816072376,0.9814977628044884,0.9931236944821881,0.9990642957315465,Bumdeling Wildlife Sanctuary,1534.244581,10.0,outside,0.6521747168349451,0.1362473320782105,19102,0.4550293070553182,0.5370673784041292,0.6382449734781793,0.7596640600738106,0.8924495871029451,0.653988564077906,0.13555082250166842,19102,0.45912472398151566,0.5411192789962596,0.6425235066689481,0.7597270558292555,0.8924475576706442,0.9654291019516157,0.05060495358290074,19102,0.8563271410115318,0.9444196510594208,0.9912159369472427,0.9990273869109261,1.0,0.949020030802275,0.051647095816300934,19095,0.8268998968656418,0.946309919353054,0.9599949516036896,0.9735497102683301,0.9951639044324331,10.0,0.06575949322166597,0.0639905607753134,0.0328879548276485,0.03248168333311685,10.0
