PA_name,park,buffer_km,location_inside,eii_mean_inside,eii_stdDev_inside,eii_count_inside,eii_p5_inside,eii_p25_inside,eii_p50_inside,eii_p75_inside,eii_p95_inside,functional_integrity_mean_inside,functional_integrity_stdDev_inside,functional_integrity_count_inside,functional_integrity_p5_inside,functional_integrity_p25_inside,functional_integrity_p50_inside,functional_integrity_p75_inside,functional_integrity_p95_inside,structural_integrity_mean_inside,structural_integrity_stdDev_inside,structural_integrity_count_inside,structural_integrity_p5_inside,structural_integrity_p25_inside,structural_integrity_p50_inside,structural_integrity_p75_inside,structural_integrity_p95_inside,compositional_integrity_mean_inside,compositional_integrity_stdDev_inside,compositional_integrity_count_inside,compositional_integrity_p5_inside,compositional_integrity_p25_inside,compositional_integrity_p50_inside,compositional_integrity_p75_inside,compositional_integrity_p95_inside,Area_km2,buffer_km_inside
BC 1,Biological Corridor 1,10.0,inside,0.8213967858534837,0.09380239569715974,3450,0.6372906804084778,0.7708680607792728,0.8407944092263501,0.8916347115472294,0.9362744587760597,0.8251385924481748,0.09562267858328723,3450,0.6388474643230438,0.7718230398648936,0.8416540888037037,0.8966058460320628,0.9474166280503687,0.9809253612953355,0.028770557916466204,3450,0.9085513861461137,0.9799857144574873,0.989627361968209,0.9987740124271094,1.0,0.9346817160639295,0.030673288001586467,3449,0.8820169842803197,0.9248174491334158,0.9403347793518897,0.9541741994897263,0.9639833306222022,255.548612,10.0
BC 2,Biological Corridor 2,10.0,inside,0.6643697184475368,0.1295900501840722,3916,0.4667093754757975,0.5604971486497513,0.6621138871558283,0.7676265015051242,0.8766470096419691,0.6657734063652452,0.1293029719735693,3916,0.4670226098303106,0.5644684207697046,0.6660030170995319,0.7676144796750707,0.8767940246650375,0.9759307363600986,0.04579399840801174,3916,0.8469213247299194,0.9750439575581371,0.9965972377791743,1.0,1.0,0.9411041778035484,0.03217966601614333,3916,0.8877025860894346,0.9286407567754776,0.9504214777044558,0.9619212619883006,0.9715861423153811,291.757619,10.0
BC 3,Biological Corridor 3,10.0,inside,0.5343722071468247,0.0795739538074287,5560,0.4512758283128973,0.4745452914317684,0.5057371580801743,0.5799999004690902,0.6932274431669958,0.5370839592422406,0.08004927484377708,5560,0.45110699687079664,0.48254501050535004,0.5096531868825892,0.5800315185021254,0.6971185750816807,0.9227272834985673,0.09096253655459659,5560,0.7253922637896378,0.8877582423966834,0.9599288082935478,0.9950735886537242,1.0,0.9526758375083497,0.021354034890995265,5560,0.9126051975191825,0.9400142247505446,0.9584928808276748,0.9692093504169217,0.9760114376244048,407.117147,10.0
BC 4,Biological Corridor 4,10.0,inside,0.6847351188874017,0.12632852320248128,7834,0.48229681680293757,0.5838813726367708,0.6775390084827314,0.790953744405914,0.8886426231276177,0.6861732367831502,0.12592287375608036,7834,0.48250482765181885,0.5840678192460778,0.6814878323106581,0.7910926488873102,0.8886554751293624,0.9590428763185544,0.0675999684982197,7834,0.8016488646206102,0.9501741736041839,0.9936438068606582,1.0,1.0,0.9691635948838797,0.022024961984125003,7834,0.9267785328199792,0.9638571738597924,0.9755894942199423,0.9814393365010063,0.9871954292568158,594.653589,10.0
BC 5,Biological Corridor 5,10.0,inside,0.47814194062657667,0.0798761187801971,2846,0.41492124593482826,0.4325294803330104,0.4441759106266883,0.4970006479330712,0.6674400065698476,0.494739940420418,0.10151847889067082,2846,0.4266989964844356,0.4384468393958378,0.4501422555826529,0.5203441418994669,0.7274035692214966,0.8028002281331561,0.1198822169192408,2846,0.5926967266046606,0.7125653575376137,0.8181248891251282,0.9002623703284964,0.9549376093797652,0.9172265123456984,0.030919508674419633,2846,0.8624999106440255,0.9071855196168503,0.9247579358446603,0.9345625635883569,0.9443395202466586,205.825297,10.0
BC 6,Biological Corridor 6,10.0,inside,0.7147915830657022,0.10932173741541508,3122,0.5329126215300719,0.6347860355319672,0.712580446381807,0.7948869423502662,0.8930073801208945,0.7148705597115492,0.10934356511224502,3122,0.5327273163575967,0.6347319946741112,0.7126228641863936,0.7949383352980548,0.8928842168105277,0.9967885929148239,0.004180806117389284,3122,0.9891676306724547,0.9923033118247987,0.9994298815727237,0.9994298815727237,1.0,0.9740794229033655,0.015290053774313138,3122,0.9563742022247089,0.9712143762549421,0.9781160594659194,0.9809950230350403,0.9837935344445011,232.77095,10.0
BC 7,Biological Corridor 7,10.0,inside,0.671485893875489,0.13086049317859974,5857,0.49022186908744175,0.5526230725667556,0.6621777287928229,0.7790502117694694,0.8928050470284654,0.672062604715589,0.13064595756549408,5857,0.4902242035476826,0.5527964503270593,0.6659912241949247,0.7790777406230976,0.8927005519047856,0.9811480679324504,0.027071899853555993,5857,0.9197269683503835,0.9709236025810242,0.995296754219691,0.9997149109840394,1.0,0.9646323087693018,0.02767517778288713,5857,0.9271203127381301,0.9600172229049285,0.9697202467326064,0.9775125981163649,0.9871169286744704,419.66363,10.0
BC 8,Biological Corridor 8,10.0,inside,0.6948349741061435,0.1387139117149638,7583,0.4864521119817503,0.5645526499766519,0.7014649217596953,0.8102570666479222,0.9080202942903834,0.6990966059868223,0.13982787679437758,7583,0.4901041131024385,0.5683777202311333,0.7052778545444573,0.8143581876940363,0.9200192984871038,0.9489072604776401,0.06518304719251058,7583,0.8255823595183236,0.8959239821887743,0.9886750409384994,0.99647798467871,1.0,0.9302396559492137,0.036792791636388315,7583,0.8741694897170958,0.9189115446803768,0.9364750977764899,0.9502437848585042,0.9696672345452962,558.604382,10.0
BC 9,Biological Corridor 9,10.0,inside,0.6645521897336164,0.1350686204540108,5336,0.47865521038571995,0.5488219905858226,0.6466182479592664,0.7717569894027341,0.8968150477699649,0.6690743216023574,0.1325272625378905,5336,0.48634627804123703,0.5564993321500682,0.6506074126187468,0.7752072510069747,0.9003475099718796,0.9282636153982355,0.07196270175909501,5336,0.7880429083650763,0.8799211142474295,0.944423567226598,0.9911463447176323,1.0,0.92978587543356,0.06724229495434984,5336,0.748994734038297,0.9364655631334197,0.9541380652356104,0.9639459515092343,0.975495007150378,401.099244,10.0
BWS,Bumdeling Wildlife Sanctuary,10.0,inside,0.7179342100566111,0.13247896807331253,19901,0.4902724661482808,0.6151279150479675,0.7286352857788285,0.8263363518280435,0.9120721656656845,0.7179791248532194,0.13249083154955146,19901,0.49024319476897393,0.6151126308932369,0.7286494336049635,0.8263162302587556,0.912057388510529,0.9983170567792642,0.003915613306331804,19901,0.990307867527008,0.9988597631454477,1.0,1.0,1.0,0.9815017141353919,0.016705072020671903,19850,0.9580559728544132,0.9756775816072376,0.9814977628044884,0.9931236944821881,0.9990642957315465,1534.244581,10.0
JDWNP,Jigme Dorji Wangchuch National Park,10.0,inside,0.6741848595423631,0.1677039935363386,56020,0.34193518791686406,0.5802343274732086,0.6895288996831346,0.8104950377424979,0.9083107171492134,0.674757229155693,0.1681971646223384,56020,0.34194220534779807,0.5802329626559072,0.6895095743504454,0.8104911848085778,0.9082702001265788,0.9959955889305616,0.01186859115744867,56020,0.9699197454936678,0.9987851612570599,1.0,1.0,1.0,0.963491904260459,0.03206828490481197,55879,0.9092224388513458,0.9501346913200263,0.9678065178869558,0.9853440376737955,0.999715820396235,4374.059572,10.0
JKSNR,Jigme Khesar Strick Nature Reserve,10.0,inside,0.7759688210410277,0.12932430079502463,10203,0.5095748907891966,0.6973413270380763,0.8143935664995692,0.8770267423548422,0.9278494276052308,0.7807045553985547,0.13101014786062248,10203,0.5095614601162435,0.7013702623377063,0.8223402731022068,0.8808777517414259,0.9316821706331911,0.9730291563701946,0.053079527477341,10203,0.8562494757805158,0.9697755564576941,0.9990883265496627,1.0,1.0,0.9531200076497349,0.028005146790314527,10193,0.9072793542398747,0.9403516579685338,0.9600343888958014,0.9717173286283732,0.9853449464137909,784.224772,10.0
JSWNP,Jigme Singye Wangchuck National Park,10.0,inside,0.6669229471062912,0.13242425506762323,22168,0.4748282825100745,0.55271232059119,0.6660781480321072,0.7714143984903397,0.8887443384158435,0.6687996266605198,0.13243495270223243,22168,0.4784322369898565,0.5565966292017196,0.6660649468037599,0.7754528470035115,0.8886871766640506,0.9672110573496251,0.06702916275738775,22168,0.8056559602320029,0.9800725705353965,0.9992640151184041,1.0,1.0,0.9654789922215546,0.02675843630483821,22168,0.9208699235743392,0.9560276561997427,0.9717280114728035,0.9814929856886281,0.9931823846779333,1730.0582,10.0
JWS,Jomotsangkha Wildlife Sanctuary,10.0,inside,0.6235681409104304,0.10962756497006057,4800,0.4510081314467563,0.5486975526407559,0.6153784674007591,0.7012409468555787,0.8189894920473161,0.6351901616556613,0.09928369081838961,4800,0.46955406847844616,0.565427306095792,0.6277831527125318,0.7022375255962854,0.8194917440414429,0.870358617317614,0.14647829365685328,4800,0.5686935193104551,0.7913256126265172,0.9277683184597306,0.9863741733443605,0.9987263145671623,0.9287669235892645,0.04364426864520278,4800,0.8683388147514529,0.9170625008835711,0.9345823299182412,0.9520555005145066,0.9716212314068371,362.490667,10.0
PWS,Phibsoo Wildlife Sanctuary,10.0,inside,0.47545929588848995,0.06047806842803087,3833,0.4267993254894196,0.43840756136693354,0.4521828897418499,0.4793092940964706,0.6123929549666013,0.47630593270198923,0.06193576852332561,3833,0.4267913597719203,0.43842025788730166,0.453973262393155,0.48152371999398413,0.6141820152600607,0.9764329650920797,0.0407315193345835,3833,0.907093081336755,0.969636276658944,0.9873362997255797,0.999305599555659,1.0,0.9546188733122811,0.02440469161414212,3829,0.924779583155017,0.9462732442017092,0.9560354910985379,0.9678569000289605,0.9774943768432677,287.178768,10.0
