PA_name,park,buffer_km,location_outside,eii_mean_outside,eii_stdDev_outside,eii_count_outside,eii_p5_outside,eii_p25_outside,eii_p50_outside,eii_p75_outside,eii_p95_outside,functional_integrity_mean_outside,functional_integrity_stdDev_outside,functional_integrity_count_outside,functional_integrity_p5_outside,functional_integrity_p25_outside,functional_integrity_p50_outside,functional_integrity_p75_outside,functional_integrity_p95_outside,structural_integrity_mean_outside,structural_integrity_stdDev_outside,structural_integrity_count_outside,structural_integrity_p5_outside,structural_integrity_p25_outside,structural_integrity_p50_outside,structural_integrity_p75_outside,structural_integrity_p95_outside,compositional_integrity_mean_outside,compositional_integrity_stdDev_outside,compositional_integrity_count_outside,compositional_integrity_p5_outside,compositional_integrity_p25_outside,compositional_integrity_p50_outside,compositional_integrity_p75_outside,compositional_integrity_p95_outside,buffer_km_outside
BC 1,Biological Corridor 1,10.0,outside,0.7625062522106358,0.13471819702185028,14751,0.4709775527362078,0.6896027487032379,0.7988174406767576,0.865291920418335,0.9237693233931458,0.7682931169365397,0.13244687284392892,14751,0.48628966993498174,0.6934868167389651,0.8027556028572848,0.8692652791418881,0.9315783328251703,0.9597177603246738,0.08023767881507074,14751,0.7756029863603183,0.9667240412841693,0.9985554822974069,1.0,1.0,0.9245685027857642,0.05386204054596352,14735,0.8263872903323398,0.9200753921105291,0.9394483270943684,0.9511195389181263,0.966649527561839,10.0
BC 2,Biological Corridor 2,10.0,outside,0.6136748142122046,0.14515265133892338,18561,0.42383300886193614,0.5019148824068619,0.5722632812019914,0.7245183108610274,0.8769824182265771,0.6241167683997401,0.13793248857508164,18561,0.45110336736281137,0.5137227473061986,0.5799646658887501,0.7323210983320326,0.8808683307792323,0.8896867311454187,0.12735086743759366,18561,0.6110669613428111,0.8144951828047006,0.9396702514421995,0.9985817101176702,1.0,0.9032724502153041,0.08601740379221984,18554,0.7207350181167737,0.8770121145611028,0.9356714010205645,0.9588321326526084,0.9743915179119521,10.0
BC 3,Biological Corridor 3,10.0,outside,0.5460975391239834,0.11481411027599657,23530,0.42787548641537393,0.45894305016221937,0.5097742429932828,0.6228487695468696,0.7675900701946807,0.5606406520913019,0.11275076705899241,23530,0.43557859296074297,0.46672341061763317,0.5293757360344602,0.6386484117124395,0.7789470796390163,0.8891804415449261,0.14920636245610558,23530,0.588522155370031,0.8181785760413386,0.9667341425923236,0.9988216105483668,1.0,0.9323533874351507,0.07117420544125712,23523,0.7867679891396887,0.927860298756991,0.9512565908009261,0.9709016361167122,0.9823009652705459,10.0
BC 4,Biological Corridor 4,10.0,outside,0.6495160786855353,0.12528868976925497,22948,0.46677070303685697,0.5489984055134767,0.6426755902186142,0.7402227104228604,0.8728651992466573,0.6530604268012663,0.12565127829962736,22948,0.46692556600702195,0.5526230138380558,0.6463006182229766,0.7441430537956873,0.8729465752402442,0.9343841579719534,0.08343028130761987,22948,0.754836982085761,0.8897290041279,0.9753997633005423,1.0,1.0,0.9554723670196608,0.03579349133868944,22946,0.9072966940020438,0.9463000445103161,0.9638692128905312,0.9755471753135548,0.9833520161567475,10.0
BC 5,Biological Corridor 5,10.0,outside,0.4963490402592924,0.09013317619180067,9935,0.42403047825595486,0.4355221847839971,0.4550088462801165,0.5291914385906036,0.6934137293862891,0.5074607971949591,0.09844192361632333,9935,0.4280050661626971,0.4432781302478131,0.4627928736539736,0.544921774891255,0.7244337161572192,0.8610307173062145,0.10912638954788552,9935,0.7088871267514107,0.7833401475481374,0.8690539267781663,0.9553565591160443,0.9901853695674636,0.914717759414109,0.053531237623472935,9934,0.8185251989694828,0.9082813367088531,0.9276777371376144,0.9394396178981363,0.9586879640246913,10.0
BC 6,Biological Corridor 6,10.0,outside,0.6489246186119928,0.12987163835435378,14196,0.4512878937210238,0.5528287950464194,0.6347279007396935,0.743933643396859,0.8769650430072086,0.6505552908186222,0.1291917395397525,14196,0.4513959054656532,0.5567248078857079,0.6386639680600029,0.7441013369079145,0.8769728015640175,0.9690707527382809,0.05667008978420414,14196,0.8369215623102055,0.963756025564851,0.9932999626831365,0.9993327852440986,1.0,0.9503284200093408,0.04133362008179269,14196,0.8798738949960764,0.9463168419780669,0.961946809379731,0.9717492727414906,0.9794968148943729,10.0
BC 7,Biological Corridor 7,10.0,outside,0.6855555270450787,0.14318522346759818,27603,0.4666773088440976,0.5604648868360537,0.6855452847965495,0.8065049734349664,0.9121869900392038,0.6865659993899439,0.14301069630546617,27603,0.46665938292184106,0.5604814984904971,0.6855714869693657,0.806500156393075,0.9121608673614282,0.9805869093760294,0.033582988167334,27603,0.9048115856969549,0.9722501071524473,0.9987518706905455,1.0,1.0,0.9614103899571014,0.039769186107872875,27595,0.899443799211208,0.9560727916192526,0.9716830649860597,0.9814632836205142,0.9951056750707676,10.0
BC 8,Biological Corridor 8,10.0,outside,0.6521035640188191,0.13738721176571975,27823,0.4668593528373852,0.5292977454041067,0.6387011914398779,0.7637733075083047,0.8887148322786669,0.6572008955726751,0.13610427232728528,27823,0.47077105386689394,0.5410038669812375,0.6425651710539174,0.7674465929975531,0.8925388402796336,0.939197381782099,0.08977803546688366,27823,0.7413238638486618,0.8937172882534175,0.9931140940728805,0.9992316311408161,1.0,0.9267812617047346,0.06333136450884998,27815,0.7898988127708435,0.9111493071082744,0.9443033733876135,0.9676450585052128,0.9853336236196025,10.0
BC 9,Biological Corridor 9,10.0,outside,0.6612458170090488,0.14278402835404436,14636,0.4511980963599325,0.5332094218343227,0.6542618316310499,0.7792523709915374,0.8964173483594773,0.6653205048185626,0.14048999639464685,14636,0.4590022239035224,0.5449788968995948,0.6582056312468505,0.7793405198364357,0.8964414079022343,0.9368017260417847,0.08174762447047167,14636,0.7452549621019869,0.8896768983510162,0.975366926365048,0.9994031692453674,1.0,0.9366542114720787,0.06402101147850248,14627,0.7705258093774319,0.9385469679076825,0.9559640746273618,0.9716474344274981,0.9833496673119501,10.0
BWS,Bumdeling Wildlife Sanctuary,10.0,outside,0.6521747168349451,0.1362473320782105,19102,0.4550293070553182,0.5370673784041292,0.6382449734781793,0.7596640600738106,0.8924495871029451,0.653988564077906,0.13555082250166842,19102,0.45912472398151566,0.5411192789962596,0.6425235066689481,0.7597270558292555,0.8924475576706442,0.9654291019516157,0.05060495358290074,19102,0.8563271410115318,0.9444196510594208,0.9912159369472427,0.9990273869109261,1.0,0.949020030802275,0.051647095816300934,19095,0.8268998968656418,0.946309919353054,0.9599949516036896,0.9735497102683301,0.9951639044324331,10.0
