park,PA_name,Are_km2,Ar_km2_g,Ar_km2_d
Biological Corridor 1,BC 1,255.548612413000001,255.548612412818187,-0.000000000181814
Biological Corridor 2,BC 2,291.757618557999990,291.757618557543481,-0.000000000456509
Biological Corridor 3,BC 3,407.117147455000008,407.117147455218230,0.000000000218222
Biological Corridor 4,BC 4,594.653589483000019,594.653589482803227,-0.000000000196792
Biological Corridor 5,BC 5,205.825296640999994,205.825296476372586,-0.000000164627409
Biological Corridor 6,BC 6,232.770949577000010,232.770949576545547,-0.000000000454463
Biological Corridor 7,BC 7,419.663630457000011,419.663630456839030,-0.000000000160981
Biological Corridor 8,BC 8,558.604381513000021,558.604381513491035,0.000000000491013
Bumdeling Wildlife Sanctuary,BWS,1534.235079569999925,1534.235061463414468,-0.000018106585458
Jigme Dorji Wangchuch National Park,JDWNP,4374.059572440000011,4374.059571024299657,-0.000001415700353
Jigme Khesar Strick Nature Reserve,JKSNR,784.224772111999982,784.224772111397670,-0.000000000602313
Jigme Singye Wangchuck National Park,JSWNP,1730.058200239999906,1730.058200242984867,0.000000002984962
Jomotsangkha Wildlife Sanctuary,JWS,362.490667154999983,362.490667154910909,-0.000000000089074
Phibsoo Wildlife Sanctuary,PWS,287.178768065999975,287.178767653303282,-0.000000412696693
Phrumsengla National Park,PNP,906.653442866999967,906.653442867406170,0.000000000406203
Royal Botanical Park,RBP,91.196589404199997,91.196589404231602,0.000000000031605
Royal Manas National Park,RMNP,1057.021828059999962,1056.946510827743850,-0.075317232256111
Sakteng Wildlife Sanctuary,SWS,742.463082056999951,742.463082040512404,-0.000000016487547
Wangchuck Centennial National Park,WCNP,4914.634155390000160,4914.634124501578299,-0.000030888421861
