PA_name,park,type,Are_km2
BC 1,Biological Corridor 1,Biological Corridor,255.548612413
BC 2,Biological Corridor 2,Biological Corridor,291.757618558
BC 3,Biological Corridor 3,Biological Corridor,407.117147455
BC 4,Biological Corridor 4,Biological Corridor,594.653589483
BC 5,Biological Corridor 5,Biological Corridor,205.825296641
BC 6,Biological Corridor 6,Biological Corridor,232.770949577
BC 7,Biological Corridor 7,Biological Corridor,419.663630457
BC 8,Biological Corridor 8,Biological Corridor,558.604381513
BWS,Bumdeling Wildlife Sanctuary,Protected Area,1534.23507957
JDWNP,Jigme Dorji Wangchuch National Park,Protected Area,4374.05957244
JKSNR,Jigme Khesar Strick Nature Reserve,Protected Area,784.224772112
JSWNP,Jigme Singye Wangchuck National Park,Protected Area,1730.05820024
JWS,Jomotsangkha Wildlife Sanctuary,Protected Area,362.490667155
PWS,Phibsoo Wildlife Sanctuary,Protected Area,287.178768066
PNP,Phrumsengla National Park,Protected Area,906.653442867
RBP,Royal Botanical Park,Protected Area,91.1965894042
RMNP,Royal Manas National Park,Protected Area,1057.02182806
SWS,Sakteng Wildlife Sanctuary,Protected Area,742.463082057
WCNP,Wangchuck Centennial National Park,Protected Area,4914.63415539
