Rank,PA Code,Category,Area (km²),EII Mean,EII SD,EII P5,EII P25,EII P50,EII P75,EII P95,Pixel Count
1,BC 1,Biological Corridor 1,255.55,0.8214,0.0941,0.6373,0.7709,0.8408,0.8916,0.9363,3442
2,JKSNR,Jigme Khesar Strick Nature Reserve,784.22,0.776,0.1293,0.5096,0.6973,0.8144,0.877,0.9278,10203
3,PNP,Phrumsengla National Park,906.65,0.7263,0.1276,0.4903,0.6347,0.7404,0.8302,0.916,11827
4,SWS,Sakteng Wildlife Sanctuary,742.46,0.7195,0.1467,0.4473,0.6152,0.7365,0.8417,0.9238,9605
5,BWS,Bumdeling Wildlife Sanctuary,1534.24,0.7179,0.1325,0.4903,0.6151,0.7286,0.8263,0.9121,19906
6,BC 6,Biological Corridor 6,232.77,0.7148,0.1093,0.5329,0.6348,0.7126,0.7949,0.893,3114
7,WCNP,Wangchuck Centennial National Park,4914.63,0.7098,0.1295,0.498,0.5996,0.709,0.8183,0.9121,62933
8,BC 8,Biological Corridor 8,558.6,0.6949,0.1385,0.4865,0.5646,0.7015,0.8103,0.908,7578
9,BC 4,Biological Corridor 4,594.65,0.6848,0.1263,0.4823,0.5839,0.6775,0.791,0.8886,7824
10,JDWNP,Jigme Dorji Wangchuch National Park,4374.06,0.6742,0.1677,0.3419,0.5802,0.6895,0.8105,0.9083,56003
11,BC 7,Biological Corridor 7,419.66,0.6716,0.1308,0.4902,0.5526,0.6622,0.7791,0.8928,5847
12,JSWNP,Jigme Singye Wangchuck National Park,1730.06,0.6669,0.1324,0.4748,0.5527,0.6661,0.7714,0.8887,22158
13,BC 9,Biological Corridor 9,401.1,0.6648,0.1351,0.4787,0.5488,0.6466,0.7718,0.8968,5337
14,BC 2,Biological Corridor 2,291.76,0.6642,0.1294,0.4667,0.5605,0.6621,0.7637,0.8766,3916
15,JWS,Jomotsangkha Wildlife Sanctuary,362.49,0.6237,0.1094,0.451,0.5487,0.6154,0.6973,0.819,4791
16,BC 3,Biological Corridor 3,407.12,0.5343,0.0796,0.4513,0.4745,0.5057,0.58,0.6932,5554
17,RBP,Royal Botanical Park,91.2,0.5114,0.0609,0.4421,0.4677,0.5053,0.542,0.6281,1269
18,RMNP,Royal Manas National Park,1057.02,0.5061,0.1071,0.42,0.4395,0.4628,0.5333,0.7519,13635
19,BC 5,Biological Corridor 5,205.83,0.4781,0.0799,0.4149,0.4325,0.4442,0.497,0.6674,2845
20,PWS,Phibsoo Wildlife Sanctuary,287.18,0.4755,0.0603,0.4268,0.4384,0.4522,0.4793,0.6124,3823
