PA Code,Buffer (km),EII Inside,EII Inside SD,EII Outside,EII Outside SD,Delta EII,Func. Inside,Func. Outside,Delta Func.,Struct. Inside,Struct. Outside,Delta Struct.,Comp. Inside,Comp. Outside,Delta Comp.
SWS,10.0,0.7194,0.1467,0.6487,0.1434,0.0707,0.7202,0.6507,0.0695,0.9822,0.9694,0.0128,0.9625,0.9464,0.0161
JKSNR,10.0,0.776,0.1293,0.7052,0.1327,0.0707,0.7807,0.7087,0.072,0.973,0.9548,0.0182,0.9531,0.9443,0.0089
BC 6,10.0,0.7148,0.1093,0.6489,0.1299,0.0659,0.7149,0.6506,0.0643,0.9968,0.9691,0.0277,0.9741,0.9503,0.0238
BWS,10.0,0.7179,0.1325,0.6522,0.1362,0.0658,0.718,0.654,0.064,0.9983,0.9654,0.0329,0.9815,0.949,0.0325
BC 1,10.0,0.8214,0.0938,0.7625,0.1347,0.0589,0.8251,0.7683,0.0568,0.9809,0.9597,0.0212,0.9347,0.9246,0.0101
JSWNP,10.0,0.6669,0.1324,0.6119,0.1248,0.055,0.6688,0.6181,0.0507,0.9672,0.9058,0.0614,0.9655,0.9294,0.0361
PNP,10.0,0.7263,0.1276,0.6732,0.1378,0.0532,0.7308,0.6781,0.0527,0.9627,0.9451,0.0177,0.9604,0.9459,0.0145
BC 2,10.0,0.6644,0.1296,0.6137,0.1452,0.0507,0.6658,0.6241,0.0417,0.9759,0.8897,0.0862,0.9411,0.9033,0.0378
BC 8,10.0,0.6948,0.1387,0.6521,0.1374,0.0427,0.6991,0.6572,0.0419,0.9489,0.9392,0.0097,0.9302,0.9268,0.0035
BC 4,10.0,0.6847,0.1263,0.6495,0.1253,0.0352,0.6862,0.6531,0.0331,0.959,0.9344,0.0247,0.9692,0.9555,0.0137
WCNP,10.0,0.7098,0.1295,0.6761,0.1399,0.0337,0.71,0.678,0.032,0.9946,0.9706,0.024,0.9827,0.9554,0.0273
JDWNP,10.0,0.6742,0.1677,0.6598,0.1461,0.0144,0.6748,0.6648,0.01,0.996,0.9505,0.0455,0.9635,0.9325,0.031
BC 9,10.0,0.6646,0.1351,0.6612,0.1428,0.0033,0.6691,0.6653,0.0038,0.9283,0.9368,-0.0085,0.9298,0.9367,-0.0069
JWS,10.0,0.6236,0.1096,0.622,0.1174,0.0015,0.6352,0.6266,0.0086,0.8704,0.9277,-0.0573,0.9288,0.9358,-0.0071
BC 3,10.0,0.5344,0.0796,0.5461,0.1148,-0.0117,0.5371,0.5606,-0.0236,0.9227,0.8892,0.0335,0.9527,0.9324,0.0203
BC 7,10.0,0.6715,0.1309,0.6856,0.1432,-0.0141,0.6721,0.6866,-0.0145,0.9811,0.9806,0.0006,0.9646,0.9614,0.0032
RBP,10.0,0.5114,0.062,0.5287,0.1287,-0.0173,0.5221,0.5498,-0.0277,0.8597,0.819,0.0407,0.8833,0.8396,0.0437
BC 5,10.0,0.4781,0.0799,0.4963,0.0901,-0.0182,0.4947,0.5075,-0.0127,0.8028,0.861,-0.0582,0.9172,0.9147,0.0025
RMNP,10.0,0.5061,0.1071,0.5441,0.106,-0.0379,0.5084,0.5543,-0.046,0.9438,0.8655,0.0783,0.9619,0.9342,0.0277
PWS,10.0,0.4755,0.0605,0.5318,0.0853,-0.0563,0.4763,0.5403,-0.064,0.9764,0.8798,0.0967,0.9546,0.9319,0.0227
