PA Code,Category,Hmi,Treecover2000,Forest Loss,Ndvi,Ndvi Trend,Fire Frequency,Cropland,Built Up,Elevation
BC 1,Biological Corridor 1,0.1304,33.6709,0.0029,0.4524,0.0011,0.0053,0.0,0.0,3879.7817
BC 2,Biological Corridor 2,0.1549,67.3444,0.0076,0.6282,0.0009,0.0768,0.0002,0.0,2488.934
BC 3,Biological Corridor 3,0.2104,75.7169,0.0054,0.6616,0.0021,0.0,0.0,0.0,1374.9549
BC 4,Biological Corridor 4,0.152,70.8851,0.0075,0.633,0.0018,0.0012,0.0,0.0,2395.2532
BC 5,Biological Corridor 5,0.2529,71.5197,0.003,0.7403,0.0011,0.0656,0.0,0.0,453.4054
BC 6,Biological Corridor 6,0.1643,70.7477,0.001,0.5658,0.0017,0.0099,0.0,0.0,2317.9456
BC 7,Biological Corridor 7,0.1622,64.0775,0.0071,0.6417,0.001,0.0758,0.0001,0.0,2563.1035
BC 8,Biological Corridor 8,0.1552,60.6741,0.0087,0.5958,0.001,0.0,0.0,0.0,3138.8926
BC 9,Biological Corridor 9,0.2127,62.8378,0.0036,0.6799,0.0016,0.1142,0.0102,0.0002,2445.2667
BWS,Bumdeling Wildlife Sanctuary,0.1144,43.851,0.0007,0.4071,0.0018,0.0,0.0001,0.0,3714.591
JDWNP,Jigme Dorji Wangchuch National Park,0.0396,18.2753,0.0033,0.2981,0.0016,0.0036,0.0,0.0,4313.4451
JKSNR,Jigme Khesar Strick Nature Reserve,0.0851,41.669,0.0043,0.4696,0.0018,0.009,0.0,0.0,3636.7281
JSWNP,Jigme Singye Wangchuck National Park,0.0811,70.0897,0.0043,0.6309,0.0015,0.0608,0.0008,0.0,2449.8633
JWS,Jomotsangkha Wildlife Sanctuary,0.1825,71.1202,0.007,0.6696,0.0017,0.0358,0.0032,0.0,782.085
PWS,Phibsoo Wildlife Sanctuary,0.1567,67.9278,0.0003,0.7024,0.001,0.056,0.0058,0.0,516.1144
PNP,Phrumsengla National Park,0.1162,69.9981,0.0027,0.5832,0.001,0.0004,0.0,0.0,3073.3951
RBP,Royal Botanical Park,0.2161,66.4906,0.0002,0.6231,0.0005,0.0,0.0,0.0009,2715.5734
RMNP,Royal Manas National Park,0.0963,81.8543,0.0035,0.7159,0.0012,0.0583,0.0002,0.0,1085.4995
SWS,Sakteng Wildlife Sanctuary,0.1325,53.1038,0.0054,0.5277,0.002,0.0002,0.0,0.0,3452.4513
WCNP,Wangchuck Centennial National Park,0.0809,24.5467,0.0026,0.303,0.0019,0.0016,0.0001,0.0,4286.9477
