variable,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,significant
Intercept,0.569278,0.022199,25.644802,0.0,0.52577,0.612787,counterfactual,True
type_Biological_Corridor_2[T.True],-0.064167,0.008917,-7.196013,0.0,-0.081644,-0.04669,counterfactual,True
type_Biological_Corridor_3[T.True],-0.102165,0.015591,-6.552596,0.0,-0.132724,-0.071606,counterfactual,True
type_Biological_Corridor_4[T.True],-0.035253,0.009818,-3.590706,0.00033,-0.054496,-0.01601,counterfactual,True
type_Biological_Corridor_5[T.True],-0.124936,0.01885,-6.627949,0.0,-0.161881,-0.087991,counterfactual,True
type_Biological_Corridor_6[T.True],-0.015139,0.009734,-1.555262,0.119884,-0.034218,0.00394,counterfactual,False
type_Biological_Corridor_7[T.True],-0.040453,0.00724,-5.587482,0.0,-0.054644,-0.026263,counterfactual,True
type_Biological_Corridor_8[T.True],-0.068884,0.005018,-13.727643,0.0,-0.078719,-0.059049,counterfactual,True
type_Biological_Corridor_9[T.True],-0.051412,0.007851,-6.548653,0.0,-0.066799,-0.036025,counterfactual,True
type_Bumdeling_Wildlife_Sanctuary[T.True],-0.057535,0.004734,-12.153738,0.0,-0.066813,-0.048257,counterfactual,True
type_Jigme_Dorji_Wangchuch_National_Park[T.True],-0.127547,0.000393,-324.70251,0.0,-0.128317,-0.126777,counterfactual,True
type_Jigme_Khesar_Strick_Nature_Reserve[T.True],-0.014309,0.0037,-3.867147,0.00011,-0.021561,-0.007057,counterfactual,True
type_Jigme_Singye_Wangchuck_National_Park[T.True],-0.058524,0.009869,-5.930247,0.0,-0.077866,-0.039181,counterfactual,True
type_Jomotsangkha_Wildlife_Sanctuary[T.True],-0.008254,0.016528,-0.49937,0.617519,-0.040648,0.024141,counterfactual,False
type_Phibsoo_Wildlife_Sanctuary[T.True],-0.115075,0.018747,-6.138424,0.0,-0.151818,-0.078332,counterfactual,True
type_Phrumsengla_National_Park[T.True],-0.027845,0.006456,-4.31336,1.6e-05,-0.040498,-0.015193,counterfactual,True
type_Royal_Botanical_Park[T.True],-0.196284,0.007962,-24.652412,0.0,-0.21189,-0.180679,counterfactual,True
type_Royal_Manas_National_Park[T.True],-0.106353,0.016712,-6.363797,0.0,-0.139108,-0.073598,counterfactual,True
type_Sakteng_Wildlife_Sanctuary[T.True],-0.060993,0.00523,-11.661621,0.0,-0.071244,-0.050742,counterfactual,True
type_Wangchuck_Centennial_National_Park[T.True],-0.093773,0.000446,-210.451016,0.0,-0.094647,-0.0929,counterfactual,True
inside_outside,0.013514,0.00728,1.856162,0.06343,-0.000756,0.027783,counterfactual,False
elevation,5.4e-05,6e-06,9.428921,0.0,4.3e-05,6.5e-05,counterfactual,True
Intercept,0.514164,0.037302,13.783973,0.0,0.441054,0.587274,drivers,True
elevation,5.6e-05,9e-06,6.307327,0.0,3.8e-05,7.3e-05,drivers,True
fire_frequency,-0.014243,0.00659,-2.161134,0.030685,-0.02716,-0.001326,drivers,True
ndvi_trend,3.002074,2.565997,1.169944,0.242023,-2.027189,8.031336,drivers,False
cropland,-0.020754,0.021658,-0.95824,0.337942,-0.063202,0.021695,drivers,False
built_up,-0.136288,0.024413,-5.582667,0.0,-0.184136,-0.08844,drivers,True
hmi,-0.081796,0.143681,-0.569291,0.569159,-0.363406,0.199813,drivers,False
inside_outside,0.008342,0.008421,0.990624,0.321869,-0.008163,0.024847,drivers,False
